timestamp,id,coal,wind
2012-01-01,62837.5,8501.128472222223,2640.2361111111113
2012-01-02,63125.0,10203.655052264809,2762.261324041812
2012-01-03,63412.5,15384.989583333334,2159.4305555555557
2012-01-04,63700.5,17026.88888888889,2654.190972222222
2012-01-05,63988.5,16545.25,2639.5173611111113
2012-01-06,64276.5,16607.04513888889,1919.6006944444443
2012-01-07,64564.0,12326.905923344948,2909.6550522648085
2012-01-08,64851.5,13104.243055555555,1760.5
2012-01-09,65139.5,17066.39236111111,1726.0243055555557
2012-01-10,65427.5,17840.1875,1967.8159722222222
2012-01-11,65715.5,18043.559027777777,2079.8645833333335
2012-01-12,65998.0,18545.173285198554,2200.884476534296
2012-01-13,66280.5,20924.413194444445,470.0486111111111
2012-01-14,66568.5,18552.104166666668,276.97569444444446
2012-01-15,66856.5,16686.121527777777,833.7430555555555
2012-01-16,67144.0,20972.69337979094,756.5505226480836
2012-01-17,67431.0,20962.864111498257,1162.1045296167247
2012-01-18,67718.5,18849.149305555555,2284.3888888888887
2012-01-19,68006.5,18217.552083333332,2461.746527777778
2012-01-20,68294.5,18538.381944444445,2103.1736111111113
2012-01-21,68582.5,14743.131944444445,3148.9548611111113
2012-01-22,68870.5,14257.607638888889,2660.815972222222
2012-01-23,69158.5,19387.38888888889,1639.8402777777778
2012-01-24,69446.5,21244.635416666668,603.75
2012-01-25,69734.5,19733.527777777777,2277.8368055555557
2012-01-26,70022.5,19446.39236111111,1212.4618055555557
2012-01-27,70310.5,19486.0625,1092.111111111111
2012-01-28,70598.5,17617.125,175.72916666666666
2012-01-29,70886.5,16890.989583333332,732.2743055555555
2012-01-30,71174.5,20811.875,953.8888888888889
2012-01-31,71462.5,22309.67361111111,1184.0069444444443
2012-02-01,71750.5,22142.597222222223,1283.8680555555557
2012-02-02,72038.5,21968.09375,695.6701388888889
2012-02-03,72326.5,22006.475694444445,648.2013888888889
2012-02-04,72614.5,20802.184027777777,1943.2465277777778
2012-02-05,72902.5,20447.559027777777,767.4861111111111
2012-02-06,73190.5,23118.777777777777,154.72222222222223
2012-02-07,73478.5,23727.25,847.8159722222222
2012-02-08,73766.5,23755.791666666668,2015.3159722222222
2012-02-09,74054.5,24587.86111111111,625.1111111111111
2012-02-10,74342.5,23929.20138888889,994.2673611111111
2012-02-11,74630.5,22508.447916666668,431.19097222222223
2012-02-12,74918.5,22264.854166666668,354.3229166666667
2012-02-13,75206.0,22401.731707317074,1991.1393728222997
2012-02-14,75493.5,20905.8125,2554.15625
2012-02-15,75781.5,18695.260416666668,2551.0138888888887
2012-02-16,76069.5,19535.805555555555,2015.670138888889
2012-02-17,76357.5,19398.76388888889,2076.7951388888887
2012-02-18,76645.5,14862.229166666666,3079.159722222222
2012-02-19,76933.5,16315.854166666666,1287.482638888889
2012-02-20,77221.5,19009.753472222223,2737.8368055555557
2012-02-21,77509.5,20001.822916666668,2636.2083333333335
2012-02-22,77797.5,18894.510416666668,3078.777777777778
2012-02-23,78085.5,18916.17013888889,2688.690972222222
2012-02-24,78373.5,17458.20486111111,2517.4583333333335
2012-02-25,78661.5,15977.979166666666,1566.7708333333333
2012-02-26,78949.5,15802.305555555555,1072.3541666666667
2012-02-27,79237.5,18403.010416666668,2312.2361111111113
2012-02-28,79525.5,19342.010416666668,1355.9375
2012-02-29,79812.5,19749.405594405594,1054.3391608391607
2012-03-01,80099.5,19763.652777777777,850.8645833333334
2012-03-02,80382.5,20416.179856115108,833.7553956834532
2012-03-03,80665.5,16613.166666666668,1916.173611111111
2012-03-04,80953.0,16374.017421602788,1192.8850174216027
2012-03-05,81240.5,19719.239583333332,1262.6875
2012-03-06,81528.5,18762.10763888889,1826.1631944444443
2012-03-07,81816.5,19096.600694444445,2930.1319444444443
2012-03-08,82104.5,20540.42361111111,2477.347222222222
2012-03-09,82392.5,20283.413194444445,2874.6180555555557
2012-03-10,82680.5,17776.100694444445,2066.1944444444443
2012-03-11,82968.5,17038.461805555555,1184.2256944444443
2012-03-12,83256.5,20615.274305555555,461.53125
2012-03-13,83544.5,20533.364583333332,140.97222222222223
2012-03-14,83832.5,20247.10763888889,394.1701388888889
2012-03-15,84120.5,20435.336805555555,780.5069444444445
2012-03-16,84408.5,19679.635416666668,1688.298611111111
2012-03-17,84696.5,18165.836805555555,607.4305555555555
2012-03-18,84984.5,18183.850694444445,641.53125
2012-03-19,85272.5,19827.39236111111,1865.8402777777778
2012-03-20,85560.5,19083.225694444445,2019.5729166666667
2012-03-21,85848.5,18650.881944444445,834.5486111111111
2012-03-22,86136.5,18313.76736111111,712.3993055555555
2012-03-23,86424.5,19088.385416666668,641.8888888888889
2012-03-24,86712.5,15090.270833333334,316.5173611111111
2012-03-25,87000.5,14403.291666666666,397.09375
2012-03-26,87287.5,17278.62937062937,201.56643356643357
2012-03-27,87574.5,17187.854166666668,204.93402777777777
2012-03-28,87862.5,17061.569444444445,753.2534722222222
2012-03-29,88150.5,17737.215277777777,1460.2569444444443
2012-03-30,88438.5,17669.32986111111,1483.7881944444443
2012-03-31,88726.0,15359.822299651569,588.8675958188153
2012-04-01,89013.5,15669.309027777777,624.4131944444445
2012-04-02,89301.5,18521.864583333332,365.56597222222223
2012-04-03,89589.5,17921.465277777777,2144.0416666666665
2012-04-04,89877.5,17921.76388888889,1878.1006944444443
2012-04-05,90165.5,18624.0625,692.4305555555555
2012-04-06,90453.5,17703.510416666668,882.0416666666666
2012-04-07,90741.5,15556.065972222223,488.3888888888889
2012-04-08,91029.5,13357.284722222223,1726.920138888889
