# 0-35 degrees, NaCl crystal, 35keV, 1 mA, Mo anode
# angle/deg,CR /s
10.52,123.6
10.54,126.4
10.56,126.4
10.58,122.2
10.6,122
10.62,130.8
10.64,123
10.66,123
10.68,126.2
10.7,114.4
10.72,121.4
10.74,123.4
10.76,128
10.78,114.6
10.8,125.8
10.82,117
10.84,117
10.86,114.4
10.88,112
10.9,119.2
10.92,109.6
10.94,117.4
10.96,114.8
10.98,112.8
11,117.4
11.02,116.4
11.04,120.4
11.06,119.6
11.08,112.6
11.1,119.4
11.12,114.2
11.14,101.8
11.16,105.6
11.18,110.2
11.2,111.8
11.22,105.8
11.24,109
11.26,109.4
11.28,108
11.3,104
11.32,100
11.34,115.8
11.36,111.8
11.38,109
11.4,104.2
11.42,115.4
11.44,106.6
11.46,106.6
11.48,101.4
11.5,106.8
11.52,107.6
11.54,105.4
11.56,103.8
11.58,99.2
11.6,110
11.62,102.4
11.64,102
11.66,102.2
11.68,104.6
11.7,102.8
11.72,108.6
11.74,104.6
11.76,104.2
11.78,95.2
11.8,98.4
11.82,104
11.84,105.8
11.86,103.2
11.88,98.6
11.9,102.2
11.92,94
11.94,94.8
11.96,93.6
11.98,109.4
12,99.4
12.02,100.2
12.04,98.8
12.06,101.8
12.08,97
12.1,97.4
12.12,99.2
12.14,104.4
12.16,94.2
12.18,94.6
12.2,97.2
12.22,97
12.24,95.2
12.26,102.2
12.28,95.4
12.3,95
12.32,98.4
12.34,93.6
12.36,106.6
12.38,95.6
12.4,95.2
12.42,93
12.44,97.8
12.46,102.8
12.48,103.4
12.5,96.2
12.52,99.6
12.54,112.2
12.56,112.2
12.58,120
12.6,123.6
12.62,136.6
12.64,132.8
12.66,131.8
12.68,148.6
12.7,150.2
12.72,169.6
12.74,180.8
12.76,188.2
12.78,195
12.8,216.6
12.82,229
12.84,250.2
12.86,253.2
12.88,255.2
12.9,259
12.92,273.6
12.94,274.4
12.96,243.6
12.98,244.4
13,219.6
13.02,198
13.04,192.4
13.06,163.6
13.08,152.8
13.1,138.2
13.12,124.4
13.14,106.4
13.16,112.6
13.18,108.4
13.2,111.2
13.22,104
13.24,90.8
13.26,94.8
13.28,94.8
13.3,97.6
13.32,90.8
13.34,95
13.36,89
13.38,89.2
13.4,93.6
13.42,88.4
13.44,86.4
13.46,94.8
13.48,87.2
13.5,94
13.52,86.6
13.54,91.4
13.56,87.6
13.58,87.8
13.6,97
13.62,89.8
13.64,87.8
13.66,90.2
13.68,91.6
13.7,90.2
13.72,91.4
13.74,95.4
13.76,84.8
13.78,92.4
13.8,92.6
13.82,85.4
13.84,86.4
13.86,86
13.88,89.4
13.9,81.4
13.92,91.8
13.94,83.6
13.96,83.2
13.98,90.4
14,94.6
14.02,92.2
14.04,94.4
14.06,97.6
14.08,91.4
14.1,100.2
14.12,95.8
14.14,97.6
14.16,99
14.18,110.2
14.2,108.2
14.22,116.2
14.24,118.4
14.26,129.2
14.28,137.8
14.3,169
14.32,188.6
14.34,221
14.36,260.2
14.38,307.6
14.4,363.8
14.42,428.4
14.44,475.8
14.46,526.8
14.48,584.2
14.5,615.2
14.52,617.6
14.54,671
14.56,655
14.58,652
14.6,635.8
14.62,592.8
14.64,542
14.66,505.4
14.68,450
14.7,361.6
14.72,311.2
14.74,259.8
14.76,215
14.78,182.6
14.8,151
14.82,114.4
14.84,111.4
14.86,95.2
14.88,96.4
14.9,79.6
14.92,88.6
14.94,85.8
14.96,77.2
14.98,75.8
15,71.4
15.02,76.4
15.04,73.2
15.06,84.6
15.08,80
15.1,65.8
15.12,72.2
15.14,78.4
15.16,70.6
15.18,71.2
15.2,76.8
15.22,73.6
15.24,72
15.26,70.4
15.28,73.4
15.3,72.2
15.32,69.4
15.34,71.2
15.36,72.8
15.38,67.6
15.4,71.2
15.42,67.4
15.44,69.4
15.46,71.8
15.48,68
15.5,72.6
15.52,72.8
15.54,68.6
15.56,64
15.58,66.6
15.6,64.2
15.62,72.6
15.64,69.8
15.66,72.2
15.68,75.2
15.7,69.4
15.72,59
15.74,69.6
15.76,64.4
15.78,73.4
15.8,66
15.82,59.8
15.84,65.4
15.86,76.4
15.88,64.2
15.9,59
15.92,62.4
15.94,58.6
15.96,60.2
15.98,63.8
16,55
16.02,56.4
16.04,67.6
16.06,61.4
16.08,60.6
16.1,53
16.12,62.8
16.14,61.8
16.16,65.8
16.18,65
16.2,61.8
16.22,62
16.24,56.8
16.26,56.8
16.28,52.6
16.3,64.8
16.32,56.6
16.34,59.2
16.36,59.2
16.38,61.4
16.4,62
16.42,62.4
16.44,58.2
16.46,56.8
16.48,52.8
16.5,51.2
16.52,55
16.54,64.4
16.56,61.8
16.58,62.6
16.6,50.6
16.62,59.2
16.64,60.8
16.66,55.4
16.68,54
16.7,54
16.72,54.2
16.74,51.4
16.76,59.4
16.78,51.4
16.8,47.2
16.82,49.4
16.84,55.6
16.86,47.2
16.88,51.6
16.9,50.4
16.92,54.4
16.94,53.8
16.96,53.4
16.98,46.6
17,51.2
17.02,54
17.04,56.6
17.06,52.4
17.08,52.2
17.1,53
17.12,52.8
17.14,49.4
17.16,48.2
17.18,52.6
17.2,48.4
17.22,54.8
17.24,47.6
17.26,48.4
17.28,43.4
17.3,51.4
17.32,49.4
17.34,52.4
17.36,52
17.38,51.2
17.4,48
17.42,54.4
17.44,51.6
17.46,48.2
17.48,48.2
17.5,53.8
17.52,52.8
17.54,49.6
17.56,46.6
17.58,46
17.6,47.4
17.62,47
17.64,49.8
17.66,48.6
17.68,51.4
17.7,42
17.72,48
17.74,39.8
17.76,45.2
17.78,46.8
17.8,46.6
17.82,43.8
